id,Question,Option,Answer,subject,group
4844,"A stone is thrown horizontally with an initial speed of 10 m/s from a bridge. Assuming that air resistance is negligible, how long would it take the stone to strike the water 80 m below the bridge?","A. 1 s
B. 2 s
C. 4 s
D. 8 s",C,high_school_physics,stem
11357,"The President appointed a delegation to enter into negotiations with representatives of a foreign government to study the problem of preventing the extinction of certain species of rabbits. The delegation's goal was twofold: to study the problem and to formulate regulations in a bilateral agreement that would protect the endangered species and provide for a permanent commission that would continually monitor enforcement of the proposed regulations. After compiling their findings and drafting the necessary regulations, the President and the leader of the foreign government entered into a treaty to form a permanent commission to oversee the problem and to grant it the necessary enforcement powers. Assume that after the treaty goes into effect, a state legislature enacts a statute that provides that ""any licensed rabbit-hunter in the state and its surrounding environs may increase his monthly catch of rabbits from 10 to 15 in each of the specified months of the authorized rabbit-hunting season from the first day of October until the last day of February. "" If challenged, the enactment of the aforementioned statute would most likely be declared","A. constitutional, because the regulation of hunting is within the area of state action.
B. constitutional, because the enactment falls within the Tenth Amendment's reservedpowers.
C. unconstitutional, because it violates the commerce clause.
D. unconstitutional, because all treaties are the supreme law of the land.",D,professional_law,humanities
4764,A very slow-moving positron interacts with a stationary electron. Which of the following statements correctly describes a possible outcome of this reaction and why it would occur?,"A. Conservation of mass indicates that if a single new particle were created in the reaction, it must have a total mass equal to the combined masses of the electron and positron.
B. Conservation of charge indicates that all new particles created in the reaction would have no electric charge.
C. Conservation of momentum indicates that two identical gamma rays moving off in opposite directions could be created.
D. Conservation of energy indicates that the antimatter positron could annihilate into energy, leaving the stationary electron behind.",C,high_school_physics,stem
12596,"According to Kubler-Ross, when a terminally ill patient is informed of his/her condition, the patient's initial reaction will likely be","A. “I hate everybody and everything!”
B. “No. it’s not possible!”
C. “I give up: I'm powerless!”
D. “If you help me, God, I’ll reform my life!”",B,professional_psychology,social_sciences
4880,An electric dipole consists of a pair of equal but opposite point charges of magnitude 4.0 nC separated by a distance of 2.0 cm. What is the electric field strength at the point midway between the charges?,"A. 0
B. 9.0 × 10^4 V/m
C. 1.8 × 10^5 V/m
D. 7.2 × 10^5 V/m",D,high_school_physics,stem
3146,"A 2.35-gram sample was dissolved in water, and the chloride ions were precipitated by adding silver nitrate (Ag+ + Cl- → AgCl). If 0.435 g of precipitate was obtained, what is the percentage of chlorine in the sample?","A. 10.80%
B. 4.60%
C. 43.50%
D. 18%",B,high_school_chemistry,stem
7040,What is not a component of an agile organisation?,"A. Market focus and position
B. Human resources: multi-skilling
C. Organisational structure
D. Project-based culture",D,management,other
2755,Which of the following statements about cellular respiration is correct?,"A. Most CO2 produced during cellular respiration is released from glycolysis.
B. Protons are pumped through ATP synthase by active transport.
C. The final electron acceptor of the electron transport chain is NAD+.
D. ATP is formed because an endergonic reaction is coupled with an exergonic reaction.",D,high_school_biology,stem
4996,Which of the following psychological disorders is characterized by an abnormally elevated or expansive mood?,"A. Depression
B. Schizophrenia
C. Euphoria
D. Mania",D,high_school_psychology,social_sciences
6934,"After applying a regularization penalty in linear regression, you find that some of the coefficients of w are zeroed out. Which of the following penalties might have been used?","A. L0 norm
B. L1 norm
C. L2 norm
D. either (a) or (b)",D,machine_learning,stem
10122,Subsistence practices of people can be determined by recovering and studying:,"A. the faunal assemblage from a site.
B. an osteological comparative collection from a site.
C. pumice and evidence of pyroclastic surges.
D. all of the above.",A,prehistory,humanities
9621,"What is meant by the term 'functional isolation'?
","A. A child that is only developing one single function at the time
B. A child that is isolated from proper nutrition and therefore not developing adequately
C. A malnourished, apathetic child that is not receiving the same stimulation from the environment affecting his/her development negatively
D. None of the above",C,nutrition,other
2908,The major difference between cartilage and bone is that cartilage,"A. is a part of the skeletal system
B. is composed of collagen and salts
C. lacks blood vessels and nerves
D. secretes a matrix",C,high_school_biology,stem
9068,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I notice a blind and deaf man has lost his guide dog, and now he is lost and walking on train tracks but a train is coming; I consider forcefully pushing the man out of the way, but I decide to sit down and watch. Scenario 2 | I give customers I don't like coffee with spit in it.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",A,moral_scenarios,humanities
4543,Which of the following is the best example of a public good?,"A. A visit to the orthodontist
B. A session at the tanning salon
C. A large pizza
D. The International Space Station",D,high_school_microeconomics,social_sciences
12576,"""A 14-year old boy is arrested for the third time for shoplifting. His mother seems unconcerned and says """"he's just going through a phase."""" His father decides to go fishing on the day of the boy's court hearing, and his sister says she can't attend his court hearing because she has too much homework. From the perspective of structural family therapy, this family is best described as:""","A. disengaged.
B. closed.
C. ""emotionally """"cut-off.""""""
D. skewed.",A,professional_psychology,social_sciences
9956,Hobbes defines injustice as:,"A. taking more than one’s share of a good.
B. failure to perform one’s covenant.
C. treating another person as a mere means.
D. violating a law of nature.",B,philosophy,humanities
1373,Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following?,"A. The Heisenberg uncertainty principle
B. The Pauli exclusion principle
C. The Bohr model of the atom
D. Nuclear hyperfine coupling",B,college_physics,stem
5104,Which of the following represents the correct order of auditory transmission from the time the sound is first heard to when it is processed in the brain?,"A. Oval window→ cochlea→ tympanic membrane→ auditory nerve→ auditory canal
B. Auditory canal→ auditory nerve→ cochlea→ tympanic membrane→ ossicles
C. Tympanic membrane→ oval window→ cochlea→ auditory nerve→ auditory canal
D. Auditory canal→ ossicles→ oval window→ cochlea→ auditory nerve",D,high_school_psychology,social_sciences
6319,Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,"A. a secure lover
B. an avoidant lover
C. an anxious-ambivalent lover
D. a passionate lover",C,human_sexuality,social_sciences
12913,Which of the following satisfies the criteria for tertiary prevention in a school setting,"A. Individual counseling for students resuming from an institutional care facility
B. Career guidance offered students unsure about plans after graduation
C. Small-group counseling of students affected by initial stages of divorce
D. Large-group programs emphasizing development of children's self- esteem",A,professional_psychology,social_sciences
12702,Tourette’s syndrome has been most consistently linked to abnormalities in which of the following structures of the brain?,"A. dentate gyrus
B. pons
C. basal ganglia
D. mammillary bodies",C,professional_psychology,social_sciences
11829,"A plaintiff filed a civil action asking for damages resulting from a tortious assault that the defendant inflicted on him. During trial, plaintiff's counsel asked an opposing witness on cross examination: ""At any time during the assault did anyone attempt to leave?"" Defense counsel objected to the question. How will the court rule on the objection?","A. The objection will be sustained because the question is misleading.
B. The objection will be sustained because the question is leading.
C. The objection will be overruled because leading questions are allowed on cross examination.
D. The objection will be overruled because the question is not leading or misleading.",A,professional_law,humanities
5631,"Two events A and B each have a nonzero probability. If A and B are independent, which of the following statements is true?","A. P(A and B) = P(A) · P(B)
B. A and B may or may not be mutually exclusive.
C. A and B must be mutually exclusive.
D. P(A| B) = P(B| A)",A,high_school_statistics,stem
415,"The so-called BRIC countries (Brazil, Russia, India and _______) tend to follow a __________ approach to corporate governance. However, recently this has tended to move towards more _______-based mechanisms.","A. Canada, Market, Relationship
B. China, Market, Relationship
C. Canada, Relationship, Market
D. China, Relationship, Market",D,business_ethics,other
163,Blood flows from the right ventricle of the heart into which of the following structures?,"A. Inferior vena cava
B. Left ventricle
C. Pulmonary arteries
D. Pulmonary veins",C,anatomy,other
9112,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went fishing for trout last weekend. Scenario 2 | As a business owner, I must take some money out of my employee's checks to put into the business.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",C,moral_scenarios,humanities
2778,What was the prevailing notion prior to the time of Lyell and Darwin?,"A. Earth is a few thousand years old, and populations are unchanging.
B. Earth is a few thousand years old, and populations gradually change.
C. Earth is millions of years old, and populations rapidly change.
D. Earth is millions of years old, and populations are unchanging.",A,high_school_biology,stem
43,Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,"A. True, True
B. False, False
C. True, False
D. False, True",C,abstract_algebra,stem
5529,"A doctor hopes that a new surgery technique will shorten the recovery time compared to the standard technique. To test this, he designed an experiment in which patients who required this type of surgery were randomly assigned to the standard technique or the new technique. Then the mean recovery time for each treatment group was compared. Assuming conditions for inference were met, which analysis should be used?","A. A t-test for a mean.
B. A t-test for a difference in means.
C. A z-test for a mean.
D. A z-test for a difference in means.",B,high_school_statistics,stem
3557,"The way of life based on breeding and herding of animals that are used as a source of food, shelter, and clothing is called","A. swidden.
B. subsistence farming.
C. pastorialism.
D. hunting and gathering.",C,high_school_geography,social_sciences
45,"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.","A. True, True
B. False, False
C. True, False
D. False, True",C,abstract_algebra,stem
10949,"A farmer owns a large farm on which he allows his friends to hunt during quail-hunting season. He does not provide his friends with any instructions about gun safety. The neighbor who owns property adjacent to the farm knows of the friends' use of the property during the hunting season. One day during the hunting season, without the farmer's knowledge or permission, the neighbor took a shortcut across the farm to visit an acquaintance. The neighbor was wounded by a shot fired by one of the farmer's friends, who was shooting at quail and carelessly failed to see the neighbor. Traditional rules of landowners' and occupiers' liability apply. In an action by the neighbor against the farmer to recover for the injuries, will the neighbor be likely to prevail?","A. No, because the farmer is not responsible for his friends' conduct.
B. No, because the neighbor was trespassing.
C. Yes, because the careless friend was permitted to hunt without safety training.
D. Yes, because the use of firearms is an abnormally dangerous activity.",B,professional_law,humanities
13585,Freud's notion of the 'ego' referred to:,"A. the unconscious mass of instinctive drives that may be repressed
B. the self as a whole: an unstable mix of conscious and unconscious elements
C. the conscious part of the mind that regulates emotional drives on a practical, rational level
D. the neurotic part of the mind that longs for belonging and may suffer an inferiority complex",C,sociology,social_sciences
4874,"A spherical charge distribution varies with the radius r by the equation ρ = ar, where ρ is the volume charge density and a is a positive constant. The distribution goes out to a radius R. Which of the following is true of the electric field strength due to this charge distribution at a distance r from the center?","A. It increases as r approaches infinity.
B. It decreases linearly for r > R.
C. It increases linearly for r > R.
D. It increases non-linearly for r < R.",D,high_school_physics,stem
7123," According to the British Government, which of the following is not a marketing function?","A. Promote marketing intelligence.
B. Develop sales tactics.
C. Develop the customer proposition.
D. Work with other business functions and third parties.",B,marketing,other
10817,"Two brothers owned a parcel of real estate as joint tenants. Both brothers signed a deed as grantors conveying the land to the buyer. The first brother handed the deed to the second brother with instructions to take the deed to their lawyer for approval prior to delivery. Brother two, without his brother's permission, took the deed directly to the buyer and collected the sale price. Is this a good deed as to partner one?","A. No, the deed cannot bind partner one because he did not participate in the deed delivery to the buyer and did not intend to deliver the deed up to the grantee at that time.
B. Yes, the transfer is valid from both partners because partner two was partner one's apparent agent for purposes of delivering the deed.
C. Yes, the deed was signed by both partners, which proved their intent to sell to buyer, and it was delivered at the time of signing by the fact of affixing their signatures to the document.
D. No, the deed was invalid as to both grantors because partner two stepped outside his scope of authority.",A,professional_law,humanities
4800,"The circumference of a helium-filled balloon is measured for three different conditions: at room temperature, after being in a warm oven for 30 minutes, and after being in a freezer for 30 minutes. A student plotting the circumference cubed C^3 as a function of temperature T, should expect to find which of the following?","A. a cubic relationship between C^3 and T
B. an indirect relationship between C^3 and T
C. an extrapolated temperature T where C^3 reaches zero
D. a maximum C^3 as the temperature T increases",C,high_school_physics,stem
1413,"Blue light of wavelength 480 nanometers is most strongly reflected off a thin film of oil on a glass slide when viewed near normal incidence. Assuming that the index of refraction of the oil is 1.2 and that of the glass is 1.6, what is the minimum thickness of the oil film (other than zero) ?","A. 150 nm
B. 200 nm
C. 300 nm
D. 400 nm",B,college_physics,stem
12469,"Female applicants consistently obtain lower scores on a selection test than do male applicants. However, when they are hired, females perform as well on the job as do males. This situation illustrates which of the following?","A. differential validity
B. differential selection
C. adverse impact
D. unfairness",D,professional_psychology,social_sciences
5575,"A company with offices in five different countries is interested in estimating the proportion of its employees in favor of banning smoking on the office premises. It is known that the views of people from different countries on issues like smoking tend to vary due to the influence of different local social structures. Which of the following is an appropriate sampling technique to use in this situation, and why?","A. Stratified sample, because the population is divided into five strata—namely, five offices in five different countries
B. Cluster sample, because the population is divided into five clusters—namely, five offices in five different countries
C. Simple random sample, because this is the simplest sampling method
D. Simple random sample, because this is the only method that gives unbiased results",A,high_school_statistics,stem
7560,What is the last letter of the Greek alphabet?,"A. omicron
B. omega
C. upsilon
D. zeta",B,miscellaneous,other
1128,For which integers n such that 3 <= n <= 11 is there only one group of order n (up to isomorphism)?,"A. For no such integer n
B. For 3, 5, 7, and 11 only
C. For 3, 5, 7, 9, and 11 only
D. For 4, 6, 8, and 10 only",B,college_mathematics,stem
3249,"Consider the following instance variable and methods in the same class.
 private int[][] matrix;
 /** Precondition: array.length > 0.
 * @return the largest integer in array
 */
 private int max(int[] array)
 { /* implementation not shown */ }
 /** @return num1 if num1 >= num2; otherwise return num2
 */
 public int max(int num1, int num2)
 { /* implementation not shown */ }
 Suppose matrix has a current value of
 2 1 4 8
 6 0 3 9
 5 7 7 6
 1 2 3 4
 What will be returned by the following method call in the same class?
 max(max(matrix[2]), max(matrix[3]))","A. 9
B. 8
C. 7
D. 4",C,high_school_computer_science,stem
1871,The price of a house is best described as what type of number?,"A. Discrete
B. Cardinal
C. Ordinal
D. Nominal",B,econometrics,social_sciences
2455,"Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
E ⊃ ~F
~F ⊃ G
~G","A. E ⊃ F
B. F ⊃ G
C. G ⊃ E
D. ~~F",D,formal_logic,humanities
464,Which of the following areas is not covered by the principles enshrined in the UN Global Compact?,"A. Human rights
B. Labour
C. Commercial performance
D. Anti-corruption",C,business_ethics,other
2348,"A teacher buys the folders listed below.
* 5 boxes of red folders with 36 folders in each box
* 6 boxes of blue folders with 32 folders in each box
Which number is closest to the total number of red and blue folders that the teacher buys?","A. 275
B. 380
C. 440
D. 550",B,elementary_mathematics,stem
767,A rise in intracellular free calcium in the sea urchin oocyte causes the release of proteolytic enzymes which act to prevent polyspermy. The events just described entail the,"A. zona reaction
B. acrosomal reaction
C. cortical reaction
D. fertilization reaction",C,college_biology,stem
6330,"In the scientific community, women's capacity for multiple orgasms was originally discovered by:","A. Kinsey
B. Freud
C. Masters and Johnson
D. Kaplan",A,human_sexuality,social_sciences
9951,Moore defines good as:,"A. pleasure.
B. that which we desire.
C. that which we desire to desire.
D. none of the above.",D,philosophy,humanities
13581,The deviant subculture of homosexuals who met in seventeenth and eighteenth century London was called the:,"A. pollies
B. mollies
C. dollies
D. lollies",B,sociology,social_sciences
13378,Which of the following does not constitute a fundamental ontological principle of social constructivism?,"A. Normative or ideational structures are important and matter as much as, if not more than, material structures.
B. Identities are important.
C. Anarchy is an inescapable feature of the international system.
D. Agents and structures are mutually constituted.",C,security_studies,social_sciences
13559,Lombroso claimed that:,"A. criminals were socialized into an 'underworld' of crime
B. no act is intrinsically deviant
C. biological failings drove some people into crime
D. women were less likely to be arrested than men",C,sociology,social_sciences
5363,Standardized tests are,"A. any examination given by your state or country
B. all examinations with exactly the same directions
C. tests with norms, which indicate average, high, and low scores for the test
D. tests for which a person's performance can be compared with a pilot group",D,high_school_psychology,social_sciences
5600,A manufacturer of motor oil is interested in testing the effects of a newly developed additive on the lifespan of an engine. Twenty-five different engine types are selected at random and each one is tested using oil with the additive and oil without the additive. What type of analysis will yield the most useful information?,"A. Matched pairs comparison of population proportions
B. Matched pairs comparison of population means
C. Independent samples comparison of population proportions
D. Independent samples comparison of population means",B,high_school_statistics,stem
4757,"An ideal battery of constant voltage V supplies current to a circuit that has total resistance R. If R is doubled, what will happen to the total power dissipated by the circuit?","A. It will double.
B. It will quadruple.
C. It will be halved.
D. It will remain the same.",C,high_school_physics,stem
11752,"Ann owns a tract of land. On August 1,2005, Ann sells to Hunter and Willa, a husband and wife, an undivided one-half interest in this land for $100,000 (the entire consideration being paid by Hunter). The deed to Hunter and Willa reads as follows: ""To Hunger and Willa and their heirs as tenants by the entirety, and not as joint tenants, and not as tenants in common. ""On August 1, 2006, Ann sells her remaining interest in the tract of land to Hunter and Brandon, his brother, for $125,000 (Hunter pays $80,000 of the purchase price, and Brandon pays the balance). The deed to Hunter and Brandon provides: ""To Hunter and Brandon and their heirs as joint tenants and not as tenants in common. ""On August 1, 2007, Hunter, Willa, and Brandon die in a common disaster, and as a consequence, the order of their deaths cannot be established by proof. Hunter's will and Willa's will devise whatever interest in the land in question that is subject to disposition by their wills to their son. Thus, the son owns","A. an undivided one-third interest in the land.
B. an undivided one-quarter interest in the land.
C. an undivided one-half interest in the land.
D. an undivided three-quarters interest in the land.",D,professional_law,humanities
5496,There are two games involving flipping a fair coin. In the first game you win a prize if you can throw between 45% and 55% heads. In the second game you win if you can throw more than 80% heads. For each game would you rather flip the coin 30 times or 300 times?,"A. 30 times for each game
B. 300 times for each game
C. 30 times for the first game and 300 times for the second
D. 300 times for the first game and 30 times for the second",D,high_school_statistics,stem
10513,An auditor of a nonissuer should design tests of details to ensure that sufficient audit evidence supports which of the following?,"A. The planned level of control risk.
B. Management’s assertions that internal controls exist and are operating efficiently.
C. The effectiveness of internal controls.
D. The planned level of assurance at the relevant assertion level.",D,professional_accounting,other
13993, Who declared Muhammad a prophet?,"A. Khadijah
B. Gabriel
C. Waraqah
D. Abu Bakr",C,world_religions,humanities
4891,The precedent established in Larry P. v. Riles resulted in,"A. the provision of a free, appropriate public education for students with disabilities
B. the provision of bilingual education for English-language learners
C. schools being held responsible for providing tests that do not discriminate on the basis of race
D. the assignment of similar funding to athletic activities for boys and girls",C,high_school_psychology,social_sciences
13928, Which Guru donned the two swords symbolling temporal and spiritual authority?,"A. Guru Nanak
B. Guru Arjan
C. Guru Hargobind
D. Guru Ram Das",C,world_religions,humanities
13846,The paramyxovirus family employ what strategy at virus entry?,"A. Initiate a fusion 'from without' using virus F protein
B. Has fusion from within a cytoplasmic vacuole at low pH
C. Viruses can puncture plasma membranes at entry
D. A fusion mediated by M protein",D,virology,other
3364,"This question refers to the following information.
At last it seems to me that I have come to understand why man is the most fortunate of all creatures and consequently worthy of all admiration. … The nature of all other beings is limited. … Imagine! The great generosity of God! The happiness of man! To man it is allowed to be whatever he chooses to be!
Pico della Mirandola, Oration on the Dignity of Man, 1486
From the passage, one may infer that Pico believed that humankind was unique because","A. human beings have a soul
B. human beings know that they will die
C. it is possible for human beings to go to heaven
D. the potential of the human being is unlimited",D,high_school_european_history,humanities
2952,"Monkeys of South and Central America have prehensile tails, meaning that their tails can be used to grasp objects. The tails of African and Asian monkeys are not prehensile. Which discipline is most likely to provide an evolutionary explanation for how this difference in tails came about?","A. Aerodynamics
B. Biogeography
C. Physiology
D. Biochemistry",B,high_school_biology,stem
12230,"A 32-year-old woman, gravida 3, para 2, at 41 weeks' gestation is admitted to the hospital in active labor. Pregnancy has been complicated by mild asthma treated with inhaled bronchodilators. At the beginning of the second stage of labor, the cervix is 100% effaced and 10 cm dilated; the vertex is at -1 station. The fetal heart rate is reactive with no decelerations. After 10 minutes of pushing, there is a prolonged deceleration to 60/min. The patient has the acute onset of shortness of breath, rapidly develops cyanosis, and becomes unresponsive. Her pulse and blood pressure cannot be detected. Immediate resuscitation is started. Five minutes later, there is bleeding from the nose, mouth, and intravenous sites. Which of the following is the most likely diagnosis?","A. Amniotic fluid embolism
B. Intracerebral hemorrhage
C. Myocardial infarction
D. Status asmaticus",A,professional_medicine,other
3405,"This question refers to the following information.
The following excerpt is from a pamphlet.
You will do me the justice to remember, that I have always strenuously supported the Right of every man to his own opinion, however different that opinion might be to mine. He who denies to another this right, makes a slave of himself to his present opinion, because he precludes himself the right of changing it.
The most formidable weapon against errors of every kind is Reason. I have never used any other, and I trust I never shall.
The circumstance that has now taken place in France of the total abolition of the whole national order of priesthood, and of everything appertaining to compulsive systems of religion, and compulsive articles of faith, has not only precipitated my intention, but rendered a work of this kind exceedingly necessary, lest in the general wreck of superstition, of false systems of government, and false theology, we lose sight of morality, of humanity, and of the theology that is true.
I believe in one God, and no more; and I hope for happiness beyond this life.
I believe in the equality of man; and I believe that religious duties consist in doing justice, loving mercy, and endeavoring to make our fellow-creatures happy.
I do not believe in the creed professed by the Jewish church, by the Roman church, by the Greek church, by the Turkish church, by the Protestant church, nor by any church that I know of. My own mind is my own church.
All national institutions of churches, whether Jewish, Christian or Turkish, appear to me no other than human inventions, set up to terrify and enslave mankind, and monopolize power and profit.
I do not mean by this declaration to condemn those who believe otherwise; they have the same right to their belief as I have to mine.
—Thomas Paine, The Age of Reason, 1794–1795
Paine's statement in the last sentence, criticizing persecution, was most likely influenced by which of the following?","A. New concepts of legal equity and individual rights expressed by Locke and Rousseau
B. Europeans gaining a more thorough understanding of the rich cultural diversity through trade and travel
C. New concepts of a deterministic mechanical universe based upon the discovery of Newton's mathematical laws
D. Challenges to the monopoly on truth held by the Roman Catholic Church on multiple fronts",B,high_school_european_history,humanities
8607,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As the baby laid asleep, I cooked them. Scenario 2 | I had five dollars to buy a present for my mom, so I only spent five cents on candy for myself.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",B,moral_scenarios,humanities
2756,Which of the following principles is NOT part of Darwin's theory of evolution by natural selection?,"A. Evolution is a gradual process that occurs over a long period of time.
B. Every population has tremendous variation.
C. Mutations are the main source of all variation in a population.
D. Organisms will overpopulate area, giving rise to competition.",C,high_school_biology,stem
4664,Normal goods always have a/an,"A. elastic demand curve
B. inelastic demand curve
C. elastic supply curve
D. positive income elasticity",D,high_school_microeconomics,social_sciences
10766,"Voters in a city passed a referendum legalizing gambling in a certain section of the city. The law established a commission, consisting of five individuals, that was in charge of licensing and overseeing the activities of the casinos. The members of the commission were to be appointed by the mayor. Pursuant to his statutory power, the mayor appointed four private citizens and a clergy member to the Commission. There is a constitutional challenge to the appointment of the clergy member as violating the establishment clause of the First Amendment. The mayor's action is","A. unconstitutional, because the appointment of a clergy member to the commission fosters excessive governmental entanglement with religion.
B. unconstitutional on its face, because members of the commission are vested with enforcement powers.
C. constitutional, because the primary effect of appointing only one religious member to the commission does not, per Se, advance or inhibit religion.
D. constitutional, because commission membership is an appointive privilege and not an elective right.",C,professional_law,humanities
2154,Solve 3 over 4 * x = 24.,"A. 18
B. 32
C. 72
D. 96",B,elementary_mathematics,stem
49,Find the maximum possible order for some element of Z_8 x Z_10 x Z_24.,"A. 8
B. 120
C. 240
D. 24",B,abstract_algebra,stem
2274,Find the product of −8 • (−4).,"A. −4
B. 4
C. 32
D. −32",C,elementary_mathematics,stem
4514,Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,"A. The price of apple peelers/corers rises.
B. Your aunt’s friends gossip all day, slowing their dough-making process.
C. There is a sale on ovens.
D. A new study reveals that apples increase your risk of cancer.",C,high_school_microeconomics,social_sciences
